
Namespace(M=300, admm_epoch=1, admm_train=True, admm_train_epochs=80, batch_size=32, data_view='frontback', dims=256, ext='0.5_tmp7', initial_s=0.01, load_model_name='ResNetUNet_best.pt', log_interval=10, lr=0.001, lr_scheduler='cosine', masked_retrain=False, model='ResNetUNet', num_classes=1, optimization='savlr', optimizer='adam', prun_config_file='config_ResNetUNet_0.5', r=0.1, retrain_epochs=10, rho=0.1, rho_num=1, save_dir='./ckpt/best_1', sparsity_type='irregular', test_batch_size=64, val_inter=1, verbose=False)

Arch name is ResNetUNet
!!!!!!!!!!!! ./ckpt/best_1/frontback_ResNetUNet_best.pt
Pretrained model loaded!
Validation: [0/2821 (0%)]	Loss: 0.019503, iou: 0.969403
Cross_entropy loss: 0.01988743245601654, mixed_loss : 0.030950525775551796
Train Epoch: 1 [11200/25390 (44%)]	Loss: 0.024944, iou: 0.959770
Cross_entropy loss: 0.024943677708506584, mixed_loss : 0.03255220875144005
Train Epoch: 1 [11520/25390 (45%)]	Loss: 0.020767, iou: 0.969135
Cross_entropy loss: 0.02076738327741623, mixed_loss : 0.02587362378835678
Train Epoch: 1 [11840/25390 (47%)]	Loss: 0.023079, iou: 0.967637
Cross_entropy loss: 0.023079369217157364, mixed_loss : 0.027618201449513435
Train Epoch: 1 [12160/25390 (48%)]	Loss: 0.028235, iou: 0.954549
Cross_entropy loss: 0.02823548950254917, mixed_loss : 0.03249089792370796
Train Epoch: 1 [12480/25390 (49%)]	Loss: 0.029291, iou: 0.949876
Cross_entropy loss: 0.02929098531603813, mixed_loss : 0.03264198079705238
Train Epoch: 1 [12800/25390 (50%)]	Loss: 0.026151, iou: 0.959495
Cross_entropy loss: 0.026151346042752266, mixed_loss : 0.029275480657815933
Train Epoch: 1 [13120/25390 (52%)]	Loss: 0.019848, iou: 0.970497
Cross_entropy loss: 0.019848376512527466, mixed_loss : 0.02438783086836338
Train Epoch: 1 [13440/25390 (53%)]	Loss: 0.035349, iou: 0.940106
Cross_entropy loss: 0.03534919396042824, mixed_loss : 0.0386856384575367
Train Epoch: 1 [13760/25390 (54%)]	Loss: 0.022880, iou: 0.965183
Cross_entropy loss: 0.022880464792251587, mixed_loss : 0.02759164199233055
Train Epoch: 1 [14080/25390 (55%)]	Loss: 0.026112, iou: 0.958527
Cross_entropy loss: 0.0261119045317173, mixed_loss : 0.02986179105937481
Train Epoch: 1 [14400/25390 (57%)]	Loss: 0.021294, iou: 0.970392
Cross_entropy loss: 0.021293530240654945, mixed_loss : 0.02428179606795311
Train Epoch: 1 [14720/25390 (58%)]	Loss: 0.023770, iou: 0.962895
Cross_entropy loss: 0.02377009391784668, mixed_loss : 0.026604361832141876
Train Epoch: 1 [15040/25390 (59%)]	Loss: 0.023153, iou: 0.964225
Cross_entropy loss: 0.02315264195203781, mixed_loss : 0.026096368208527565
Train Epoch: 1 [15360/25390 (60%)]	Loss: 0.021043, iou: 0.969112
Cross_entropy loss: 0.0210431981831789, mixed_loss : 0.023493804037570953
Train Epoch: 1 [15680/25390 (62%)]	Loss: 0.021298, iou: 0.967216
Cross_entropy loss: 0.02129778265953064, mixed_loss : 0.023336948826909065
Train Epoch: 1 [16000/25390 (63%)]	Loss: 0.020225, iou: 0.969257
Cross_entropy loss: 0.020224595442414284, mixed_loss : 0.022420626133680344
Train Epoch: 1 [16320/25390 (64%)]	Loss: 0.024903, iou: 0.958713
Cross_entropy loss: 0.02490348555147648, mixed_loss : 0.02772175334393978
Train Epoch: 1 [16640/25390 (65%)]	Loss: 0.020793, iou: 0.969366
Cross_entropy loss: 0.020793206989765167, mixed_loss : 0.023228125646710396
Train Epoch: 1 [16960/25390 (67%)]	Loss: 0.028059, iou: 0.954512
Cross_entropy loss: 0.028058644384145737, mixed_loss : 0.03130512312054634
Train Epoch: 1 [17280/25390 (68%)]	Loss: 0.020978, iou: 0.970362
Cross_entropy loss: 0.020977547392249107, mixed_loss : 0.02637453004717827
Train Epoch: 1 [17600/25390 (69%)]	Loss: 0.024931, iou: 0.960077
Cross_entropy loss: 0.024930797517299652, mixed_loss : 0.03256417065858841
Train Epoch: 1 [17920/25390 (71%)]	Loss: 0.019135, iou: 0.976815
Cross_entropy loss: 0.019135434180498123, mixed_loss : 0.02755090408027172
Train Epoch: 1 [18240/25390 (72%)]	Loss: 0.027746, iou: 0.956096
Cross_entropy loss: 0.02774648182094097, mixed_loss : 0.03320882469415665
Train Epoch: 1 [18560/25390 (73%)]	Loss: 0.020255, iou: 0.969596
Cross_entropy loss: 0.02025534212589264, mixed_loss : 0.023155542090535164
Train Epoch: 1 [18880/25390 (74%)]	Loss: 0.019855, iou: 0.968555
Cross_entropy loss: 0.01985510066151619, mixed_loss : 0.022255003452301025
Train Epoch: 1 [19200/25390 (76%)]	Loss: 0.027227, iou: 0.957207
Cross_entropy loss: 0.0272270105779171, mixed_loss : 0.02991800382733345
Train Epoch: 1 [19520/25390 (77%)]	Loss: 0.019896, iou: 0.970640
Cross_entropy loss: 0.019895846024155617, mixed_loss : 0.02252635732293129
Train Epoch: 1 [19840/25390 (78%)]	Loss: 0.031238, iou: 0.950460
Cross_entropy loss: 0.031238039955496788, mixed_loss : 0.03311491385102272
Train Epoch: 1 [20160/25390 (79%)]	Loss: 0.026121, iou: 0.960176
Cross_entropy loss: 0.026121366769075394, mixed_loss : 0.028731226921081543
Train Epoch: 1 [20480/25390 (81%)]	Loss: 0.028860, iou: 0.955453
Cross_entropy loss: 0.028860285878181458, mixed_loss : 0.030956700444221497
Train Epoch: 1 [20800/25390 (82%)]	Loss: 0.019826, iou: 0.971396
Cross_entropy loss: 0.019826043397188187, mixed_loss : 0.022606046870350838
Train Epoch: 1 [21120/25390 (83%)]	Loss: 0.024568, iou: 0.962380
Cross_entropy loss: 0.02456771954894066, mixed_loss : 0.026833897456526756
Train Epoch: 1 [21440/25390 (84%)]	Loss: 0.020861, iou: 0.967801
Cross_entropy loss: 0.020861409604549408, mixed_loss : 0.02291289158165455
Train Epoch: 1 [21760/25390 (86%)]	Loss: 0.022664, iou: 0.965447
Cross_entropy loss: 0.02266417071223259, mixed_loss : 0.025048227980732918
Train Epoch: 1 [22080/25390 (87%)]	Loss: 0.018745, iou: 0.973729
Cross_entropy loss: 0.018744543194770813, mixed_loss : 0.021266905590891838
Train Epoch: 1 [22400/25390 (88%)]	Loss: 0.025488, iou: 0.961695
Cross_entropy loss: 0.025488020852208138, mixed_loss : 0.027846284210681915
Train Epoch: 1 [22720/25390 (89%)]	Loss: 0.020424, iou: 0.968343
Cross_entropy loss: 0.020424194633960724, mixed_loss : 0.023696953430771828
Train Epoch: 1 [23040/25390 (91%)]	Loss: 0.024142, iou: 0.961902
Cross_entropy loss: 0.024141814559698105, mixed_loss : 0.026875363662838936
Train Epoch: 1 [23360/25390 (92%)]	Loss: 0.023865, iou: 0.961067
Cross_entropy loss: 0.02386530488729477, mixed_loss : 0.02820403501391411
Train Epoch: 1 [23680/25390 (93%)]	Loss: 0.021699, iou: 0.966318
Cross_entropy loss: 0.021698854863643646, mixed_loss : 0.02425137348473072
Train Epoch: 1 [24000/25390 (94%)]	Loss: 0.023395, iou: 0.963638
Cross_entropy loss: 0.023395419120788574, mixed_loss : 0.025448555126786232
Train Epoch: 1 [24320/25390 (96%)]	Loss: 0.036922, iou: 0.938790
Cross_entropy loss: 0.036921557039022446, mixed_loss : 0.03867309167981148
Train Epoch: 1 [24640/25390 (97%)]	Loss: 0.021997, iou: 0.964998
Cross_entropy loss: 0.021997347474098206, mixed_loss : 0.028830362483859062
Train Epoch: 1 [24960/25390 (98%)]	Loss: 0.040812, iou: 0.930409
Cross_entropy loss: 0.04081185162067413, mixed_loss : 0.04540602117776871
Train Epoch: 1 [25280/25390 (99%)]	Loss: 0.030102, iou: 0.952017
Cross_entropy loss: 0.030102381482720375, mixed_loss : 0.03950557857751846
train: iou: 0.963264, bce: 0.010773, dice: 0.036736, loss: 0.023754
Validation: [0/2821 (0%)]	Loss: 0.023378, iou: 0.963430
Validation: [640/2821 (22%)]	Loss: 0.022088, iou: 0.965413
Validation: [1280/2821 (44%)]	Loss: 0.026885, iou: 0.955804
Validation: [1920/2821 (67%)]	Loss: 0.021855, iou: 0.965860
Validation: [2560/2821 (89%)]	Loss: 0.021869, iou: 0.966494
val: iou: 0.963363, bce: 0.010624, dice: 0.036637, loss: 0.023630
Condition 1
[]
Condition 2
[]
Current epoch: 1; current test iou: 0.9634; best test iou: 0.0000 at epoch 1


epoch:  2
k = 1
condition not satisfied
condition satisfied
k = 2
savlr s:
0.00010745375782499213
Train Epoch: 2 [0/25390 (0%)]	Loss: 0.022089, iou: 0.966486
Cross_entropy loss: 0.02208932489156723, mixed_loss : 0.02398797497153282
Train Epoch: 2 [320/25390 (1%)]	Loss: 0.023459, iou: 0.967678
Cross_entropy loss: 0.023459428921341896, mixed_loss : 0.10076170414686203
Train Epoch: 2 [640/25390 (3%)]	Loss: 0.032871, iou: 0.946038
Cross_entropy loss: 0.032870568335056305, mixed_loss : 0.0630553588271141
Train Epoch: 2 [960/25390 (4%)]	Loss: 0.035224, iou: 0.938850
Cross_entropy loss: 0.035223837941884995, mixed_loss : 0.0462702177464962
Train Epoch: 2 [1280/25390 (5%)]	Loss: 0.021692, iou: 0.967420
Cross_entropy loss: 0.02169247530400753, mixed_loss : 0.027273500338196754
Train Epoch: 2 [1600/25390 (6%)]	Loss: 0.025749, iou: 0.960780
Cross_entropy loss: 0.025748856365680695, mixed_loss : 0.02888081595301628
Train Epoch: 2 [1920/25390 (8%)]	Loss: 0.020341, iou: 0.969708
Cross_entropy loss: 0.02034115046262741, mixed_loss : 0.02606898732483387
Train Epoch: 2 [2240/25390 (9%)]	Loss: 0.020576, iou: 0.970946
Cross_entropy loss: 0.020575538277626038, mixed_loss : 0.024219108745455742
Train Epoch: 2 [2560/25390 (10%)]	Loss: 0.025825, iou: 0.962932
Cross_entropy loss: 0.0258248969912529, mixed_loss : 0.02957892045378685
Train Epoch: 2 [2880/25390 (11%)]	Loss: 0.024166, iou: 0.962986
Cross_entropy loss: 0.024165986105799675, mixed_loss : 0.027334604412317276
Train Epoch: 2 [3200/25390 (13%)]	Loss: 0.027088, iou: 0.957683
Cross_entropy loss: 0.02708832360804081, mixed_loss : 0.030372951179742813
Train Epoch: 2 [3520/25390 (14%)]	Loss: 0.023619, iou: 0.961497
Cross_entropy loss: 0.023619376122951508, mixed_loss : 0.02624788135290146
Train Epoch: 2 [3840/25390 (15%)]	Loss: 0.023736, iou: 0.964643
Cross_entropy loss: 0.023736130446195602, mixed_loss : 0.028980493545532227
Train Epoch: 2 [4160/25390 (16%)]	Loss: 0.032522, iou: 0.944617
Cross_entropy loss: 0.03252153471112251, mixed_loss : 0.03530111536383629
Train Epoch: 2 [4480/25390 (18%)]	Loss: 0.029140, iou: 0.953124
Cross_entropy loss: 0.029140252619981766, mixed_loss : 0.031336359679698944
Train Epoch: 2 [4800/25390 (19%)]	Loss: 0.019452, iou: 0.972204
Cross_entropy loss: 0.019451554864645004, mixed_loss : 0.021952392533421516
Train Epoch: 2 [5120/25390 (20%)]	Loss: 0.018346, iou: 0.972797
Cross_entropy loss: 0.018346261233091354, mixed_loss : 0.02092205360531807
Train Epoch: 2 [5440/25390 (21%)]	Loss: 0.019539, iou: 0.972246
Cross_entropy loss: 0.01953873410820961, mixed_loss : 0.023694559931755066
Train Epoch: 2 [5760/25390 (23%)]	Loss: 0.024856, iou: 0.961099
Cross_entropy loss: 0.02485639974474907, mixed_loss : 0.027225876227021217
Train Epoch: 2 [6080/25390 (24%)]	Loss: 0.022297, iou: 0.966867
Cross_entropy loss: 0.022296931594610214, mixed_loss : 0.02434973046183586
Train Epoch: 2 [6400/25390 (25%)]	Loss: 0.026046, iou: 0.958366
Cross_entropy loss: 0.026045896112918854, mixed_loss : 0.02954973094165325
Train Epoch: 2 [6720/25390 (26%)]	Loss: 0.018727, iou: 0.972879
Cross_entropy loss: 0.018726948648691177, mixed_loss : 0.02085655741393566
Train Epoch: 2 [7040/25390 (28%)]	Loss: 0.020290, iou: 0.970057
Cross_entropy loss: 0.020289668813347816, mixed_loss : 0.022875865921378136
Train Epoch: 2 [7360/25390 (29%)]	Loss: 0.020868, iou: 0.969337
Cross_entropy loss: 0.020867951214313507, mixed_loss : 0.02324892394244671
Train Epoch: 2 [7680/25390 (30%)]	Loss: 0.021721, iou: 0.965456
Cross_entropy loss: 0.021720893681049347, mixed_loss : 0.023843510076403618
Train Epoch: 2 [8000/25390 (31%)]	Loss: 0.035831, iou: 0.940235
Cross_entropy loss: 0.035831063985824585, mixed_loss : 0.037882909178733826
Train Epoch: 2 [8320/25390 (33%)]	Loss: 0.029246, iou: 0.953141
Cross_entropy loss: 0.02924623154103756, mixed_loss : 0.03561802953481674
Train Epoch: 2 [8640/25390 (34%)]	Loss: 0.023012, iou: 0.963990
Cross_entropy loss: 0.02301151305437088, mixed_loss : 0.026197485625743866
Train Epoch: 2 [8960/25390 (35%)]	Loss: 0.024653, iou: 0.961388
Cross_entropy loss: 0.024653296917676926, mixed_loss : 0.027728676795959473
Train Epoch: 2 [9280/25390 (37%)]	Loss: 0.028779, iou: 0.953085
Cross_entropy loss: 0.02877896837890148, mixed_loss : 0.03176964446902275
Train Epoch: 2 [9600/25390 (38%)]	Loss: 0.029698, iou: 0.951617
Cross_entropy loss: 0.02969830296933651, mixed_loss : 0.03317473083734512
Train Epoch: 2 [9920/25390 (39%)]	Loss: 0.038574, iou: 0.931974
Cross_entropy loss: 0.038574062287807465, mixed_loss : 0.040982622653245926
Train Epoch: 2 [10240/25390 (40%)]	Loss: 0.030959, iou: 0.949707
Cross_entropy loss: 0.030958734452724457, mixed_loss : 0.03301917389035225
Train Epoch: 2 [10560/25390 (42%)]	Loss: 0.020725, iou: 0.969213
Cross_entropy loss: 0.020725198090076447, mixed_loss : 0.023749645799398422
Train Epoch: 2 [10880/25390 (43%)]	Loss: 0.024811, iou: 0.961818
Cross_entropy loss: 0.024810848757624626, mixed_loss : 0.027398347854614258
Train Epoch: 2 [11200/25390 (44%)]	Loss: 0.019657, iou: 0.970887
Cross_entropy loss: 0.019656656309962273, mixed_loss : 0.02279471419751644
Train Epoch: 2 [11520/25390 (45%)]	Loss: 0.017383, iou: 0.973100
Cross_entropy loss: 0.017382651567459106, mixed_loss : 0.019590161740779877
Train Epoch: 2 [11840/25390 (47%)]	Loss: 0.023927, iou: 0.963981
Cross_entropy loss: 0.02392718568444252, mixed_loss : 0.026789765805006027
Train Epoch: 2 [12160/25390 (48%)]	Loss: 0.028786, iou: 0.952472
Cross_entropy loss: 0.028786111623048782, mixed_loss : 0.03227505832910538
Train Epoch: 2 [12480/25390 (49%)]	Loss: 0.025132, iou: 0.964587
Cross_entropy loss: 0.025132473558187485, mixed_loss : 0.027674145996570587
Train Epoch: 2 [12800/25390 (50%)]	Loss: 0.020854, iou: 0.970660
Cross_entropy loss: 0.02085425704717636, mixed_loss : 0.023718835785984993
Train Epoch: 2 [13120/25390 (52%)]	Loss: 0.021615, iou: 0.966599
Cross_entropy loss: 0.02161492593586445, mixed_loss : 0.024096645414829254
Train Epoch: 2 [13440/25390 (53%)]	Loss: 0.025424, iou: 0.960696
Cross_entropy loss: 0.025423895567655563, mixed_loss : 0.02745186723768711
Train Epoch: 2 [13760/25390 (54%)]	Loss: 0.034341, iou: 0.940593
Cross_entropy loss: 0.03434089943766594, mixed_loss : 0.038179151713848114
Train Epoch: 2 [14080/25390 (55%)]	Loss: 0.025199, iou: 0.958382
Cross_entropy loss: 0.02519865334033966, mixed_loss : 0.027590317651629448
Train Epoch: 2 [14400/25390 (57%)]	Loss: 0.021303, iou: 0.966925
Cross_entropy loss: 0.021302664652466774, mixed_loss : 0.02368759736418724
Train Epoch: 2 [14720/25390 (58%)]	Loss: 0.021520, iou: 0.968868
Cross_entropy loss: 0.021519778296351433, mixed_loss : 0.023115597665309906
Train Epoch: 2 [15040/25390 (59%)]	Loss: 0.024442, iou: 0.964676
Cross_entropy loss: 0.024441618472337723, mixed_loss : 0.026106877252459526
Train Epoch: 2 [15360/25390 (60%)]	Loss: 0.019322, iou: 0.974219
Cross_entropy loss: 0.01932227984070778, mixed_loss : 0.021557528525590897
Train Epoch: 2 [15680/25390 (62%)]	Loss: 0.019603, iou: 0.971743
Cross_entropy loss: 0.019603122025728226, mixed_loss : 0.02395048923790455
Train Epoch: 2 [16000/25390 (63%)]	Loss: 0.020066, iou: 0.970314
Cross_entropy loss: 0.020065687596797943, mixed_loss : 0.02285528928041458
Train Epoch: 2 [16320/25390 (64%)]	Loss: 0.019683, iou: 0.970674
Cross_entropy loss: 0.019682934507727623, mixed_loss : 0.022222371771931648
Train Epoch: 2 [16640/25390 (65%)]	Loss: 0.022667, iou: 0.968046
Cross_entropy loss: 0.02266703173518181, mixed_loss : 0.02516154572367668
Train Epoch: 2 [16960/25390 (67%)]	Loss: 0.027645, iou: 0.956896
Cross_entropy loss: 0.027644619345664978, mixed_loss : 0.02964475378394127
Train Epoch: 2 [17280/25390 (68%)]	Loss: 0.021085, iou: 0.970358
Cross_entropy loss: 0.021085092797875404, mixed_loss : 0.023533018305897713
Train Epoch: 2 [17600/25390 (69%)]	Loss: 0.023446, iou: 0.962657
Cross_entropy loss: 0.02344595640897751, mixed_loss : 0.026417823508381844
Train Epoch: 2 [17920/25390 (71%)]	Loss: 0.025759, iou: 0.960212
Cross_entropy loss: 0.025758996605873108, mixed_loss : 0.0285963024944067
Train Epoch: 2 [18240/25390 (72%)]	Loss: 0.022550, iou: 0.967675
Cross_entropy loss: 0.02255033515393734, mixed_loss : 0.025479193776845932
Train Epoch: 2 [18560/25390 (73%)]	Loss: 0.027396, iou: 0.955938
Cross_entropy loss: 0.02739603817462921, mixed_loss : 0.03067466989159584
Train Epoch: 2 [18880/25390 (74%)]	Loss: 0.016945, iou: 0.976769
Cross_entropy loss: 0.016945460811257362, mixed_loss : 0.019318997859954834
Train Epoch: 2 [19200/25390 (76%)]	Loss: 0.023075, iou: 0.962629
Cross_entropy loss: 0.023074615746736526, mixed_loss : 0.02684003673493862
Train Epoch: 2 [19520/25390 (77%)]	Loss: 0.021207, iou: 0.968422
Cross_entropy loss: 0.02120700478553772, mixed_loss : 0.02405194565653801
Train Epoch: 2 [19840/25390 (78%)]	Loss: 0.018922, iou: 0.971522
Cross_entropy loss: 0.018921921029686928, mixed_loss : 0.023362047970294952
Train Epoch: 2 [20160/25390 (79%)]	Loss: 0.021454, iou: 0.969025
Cross_entropy loss: 0.021453648805618286, mixed_loss : 0.024107832461595535
Train Epoch: 2 [20480/25390 (81%)]	Loss: 0.046056, iou: 0.919993
Cross_entropy loss: 0.046056054532527924, mixed_loss : 0.047892674803733826
Train Epoch: 2 [20800/25390 (82%)]	Loss: 0.018705, iou: 0.973122
Cross_entropy loss: 0.018705183640122414, mixed_loss : 0.021156620234251022
Train Epoch: 2 [21120/25390 (83%)]	Loss: 0.036458, iou: 0.937195
Cross_entropy loss: 0.03645772486925125, mixed_loss : 0.04081270843744278
Train Epoch: 2 [21440/25390 (84%)]	Loss: 0.023144, iou: 0.965522
Cross_entropy loss: 0.023143501952290535, mixed_loss : 0.027900734916329384
Train Epoch: 2 [21760/25390 (86%)]	Loss: 0.028476, iou: 0.952531
Cross_entropy loss: 0.028475742787122726, mixed_loss : 0.03255545720458031
Train Epoch: 2 [22080/25390 (87%)]	Loss: 0.027817, iou: 0.953930
Cross_entropy loss: 0.02781740389764309, mixed_loss : 0.03163744881749153
Train Epoch: 2 [22400/25390 (88%)]	Loss: 0.042104, iou: 0.925904
Cross_entropy loss: 0.04210398346185684, mixed_loss : 0.04586547985672951
Train Epoch: 2 [22720/25390 (89%)]	Loss: 0.019050, iou: 0.971465
Cross_entropy loss: 0.01904992386698723, mixed_loss : 0.022051306441426277
Train Epoch: 2 [23040/25390 (91%)]	Loss: 0.040493, iou: 0.931686
Cross_entropy loss: 0.04049283638596535, mixed_loss : 0.04423608258366585
Train Epoch: 2 [23360/25390 (92%)]	Loss: 0.021285, iou: 0.970270
Cross_entropy loss: 0.021285299211740494, mixed_loss : 0.02475922182202339
Train Epoch: 2 [23680/25390 (93%)]	Loss: 0.022216, iou: 0.965611
Cross_entropy loss: 0.02221621945500374, mixed_loss : 0.026393665000796318
Train Epoch: 2 [24000/25390 (94%)]	Loss: 0.020330, iou: 0.970367
Cross_entropy loss: 0.020330287516117096, mixed_loss : 0.02303401567041874
Train Epoch: 2 [24320/25390 (96%)]	Loss: 0.021103, iou: 0.968636
Cross_entropy loss: 0.021103322505950928, mixed_loss : 0.02350064367055893
Train Epoch: 2 [24640/25390 (97%)]	Loss: 0.024321, iou: 0.963204
Cross_entropy loss: 0.02432124875485897, mixed_loss : 0.0262053981423378
Train Epoch: 2 [24960/25390 (98%)]	Loss: 0.022557, iou: 0.967244
Cross_entropy loss: 0.022557491436600685, mixed_loss : 0.031020864844322205
Train Epoch: 2 [25280/25390 (99%)]	Loss: 0.024120, iou: 0.964009
Cross_entropy loss: 0.024120261892676353, mixed_loss : 0.028858838602900505
train: iou: 0.963191, bce: 0.010874, dice: 0.036809, loss: 0.023842
Validation: [0/2821 (0%)]	Loss: 0.022415, iou: 0.965174
